Course,stdev
ECE260-F,10.111874208078342
ECE260-SU,12.054044964243332
ECE360-F,16.901676445449624
ECE360-SP,10.082988974836116
CSC460-SP,7.111359122659224
CSC460-SU,2.516611478423583
SENG371-SP,20.090819436773245
SENG350-F,27.47574688096152
SENG440-SU,24.563232298546968
CSC115-F,43.335390201959
CSC115-SP,56.09842214388001
CSC115-SU,36.38288451613321
CSC230-F,48.08143275552607
CSC230-SP,35.39603255845379
CSC230-SU,26.135544124174395
SENG310-SP,42.9933046232113
SENG310-SU,35.35978345117919
SENG426-SU,23.688052041563264
CSC361-F,32.75707009220515
CSC361-SP,50.676424498971905
CSC361-SU,2.0816659994661326
ECE455-SP,19.619293225462194
ECE310-SP,21.31509637166422
ECE310-SU,5.805170109479997
ECE255-F,18.76166303929372
CSC225-F,56.53341907692717
CSC225-SP,40.573769472785855
CSC225-SU,33.31980677929456
SENG401-SP,20.68762968486293
SENG401-SU,6.928203230275509
CSC226-F,25.23284424260231
CSC226-SP,30.859126920340994
CSC226-SU,26.953222265179917
SENG275-SU,15.649813630413195
SENG499-SP,4.680252333449758
SENG499-SU,24.665788025139168
CSC111-F,81.58394180498733
CSC111-SP,24.998666631109213
ECE458-SP,5.057996968497839
ECE355-F,15.0996688705415
CSC320-F,48.480652082801306
CSC320-SP,44.758939189424915
CSC320-SU,46.82825764734061
SENG360-F,39.25382321968954
CSC360-F,38.81804553736135
CSC360-SP,48.744230427815765
CSC360-SU,20.40806240163458
CSC355-F,32.77056997383867
CSC355-SP,25.19523764523764
CSC370-F,36.6105881519973
CSC370-SP,42.93676669319587
CSC370-SU,26.026065023473308
SENG265-F,60.7557259997627
SENG265-SP,38.39957646286574
SENG265-SU,29.303502147273083
SENG321-F,9.451631252505216
SENG321-SP,25.306147452765284
SENG321-SU,4.193248541803041
